Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event
2018,16/6/21,Anonymo,AGO,Poland,Poland,Dust2,11,16,ESEA Premier Season 37 Europe
2019,16/6/21,Wisla Krakow,SAW,Poland,Portugal,Nuke,16,12,ESEA Premier Season 37 Europe
2020,16/6/21,Wisla Krakow,SAW,Poland,Portugal,Inferno,5,16,ESEA Premier Season 37 Europe
2021,16/6/21,SAW,Wisla Krakow,Portugal,Poland,Ancient,9,16,ESEA Premier Season 37 Europe
2022,16/6/21,Sangal,Endpoint,Turkey,United Kingdom,Inferno,7,16,ESEA Premier Season 37 Europe
2023,16/6/21,Sangal,Endpoint,Turkey,United Kingdom,Mirage,10,16,ESEA Premier Season 37 Europe
2024,16/6/21,Copenhagen Flames,Fiend,Denmark,Bulgaria,Mirage,5,16,Spring Sweet Spring 3 Regionals
2025,16/6/21,Fiend,Copenhagen Flames,Bulgaria,Denmark,Ancient,16,8,Spring Sweet Spring 3 Regionals
2026,16/6/21,FaZe,Natus Vincere,Europe,Russia,Mirage,14,16,BLAST Premier Spring Final 2021
2027,16/6/21,FaZe,Natus Vincere,Europe,Russia,Dust2,14,16,BLAST Premier Spring Final 2021
2028,16/6/21,Natus Vincere,FaZe,Russia,Europe,Ancient,9,16,BLAST Premier Spring Final 2021
2029,16/6/21,Lyngby Vikings,Sinners,Denmark,Czech Republic,Vertigo,16,11,Funspark ULTI 2021 Europe Playoffs 1
2030,16/6/21,Sinners,Lyngby Vikings,Czech Republic,Denmark,Ancient,17,19,Funspark ULTI 2021 Europe Playoffs 1
2031,16/6/21,Trident,Copenhagen Flames,Russia,Denmark,Overpass,11,16,European Development Championship 4
2032,16/6/21,G2,BIG,Europe,Germany,Vertigo,10,16,BLAST Premier Spring Final 2021
2033,16/6/21,BIG,G2,Germany,Europe,Mirage,7,16,BLAST Premier Spring Final 2021
2034,16/6/21,BIG,G2,Germany,Europe,Dust2,16,11,BLAST Premier Spring Final 2021
2035,16/6/21,Entropiq,HAVU,Russia,Finland,Nuke,16,7,Funspark ULTI 2021 Europe Playoffs 1
