Index,Date,Team1,Team2,Map,winner,Team1_region,Team2_region,Event_priority
113,2021-10-30,FaZe,Evil Geniuses,Dust2,1,EU,N_A,1
114,2021-10-29,Spirit,Astralis,Inferno,2,CIS,EU,1
115,2021-10-29,Astralis,Spirit,Dust2,1,EU,CIS,1
116,2021-10-29,MOUZ,BIG,Nuke,1,EU,EU,1
117,2021-10-29,BIG,MOUZ,Inferno,2,EU,EU,1
118,2021-10-29,MOUZ,BIG,Dust2,2,EU,EU,1
119,2021-10-29,Movistar Riders,Heroic,Overpass,2,EU,EU,1
120,2021-10-29,Heroic,Movistar Riders,Inferno,1,EU,EU,1
121,2021-10-28,MOUZ,Renegades,Vertigo,1,EU,Oceania,1
122,2021-10-28,Renegades,MOUZ,Inferno,2,Oceania,EU,1
123,2021-10-28,MOUZ,Renegades,Mirage,2,EU,Oceania,1
124,2021-10-28,Astralis,paiN,Ancient,1,EU,SA,1
125,2021-10-28,paiN,Astralis,Nuke,2,SA,EU,1
126,2021-10-28,ENCE,BIG,Nuke,1,EU,EU,1
127,2021-10-28,BIG,ENCE,Mirage,2,EU,EU,1
128,2021-10-28,ENCE,BIG,Dust2,2,EU,EU,1
129,2021-10-28,TYLOO,Movistar Riders,Vertigo,2,Asia,EU,1
130,2021-10-28,Movistar Riders,TYLOO,Mirage,2,EU,Asia,1
131,2021-10-28,TYLOO,Movistar Riders,Inferno,2,Asia,EU,1
132,2021-10-28,Spirit,Virtus.pro,Overpass,2,CIS,CIS,1
133,2021-10-28,Virtus.pro,Spirit,Ancient,2,CIS,CIS,1
134,2021-10-28,Spirit,Virtus.pro,Inferno,2,CIS,CIS,1
135,2021-10-28,Heroic,Entropiq,Mirage,2,EU,CIS,1
136,2021-10-28,Entropiq,Heroic,Nuke,1,CIS,EU,1
137,2021-10-28,Heroic,Entropiq,Ancient,1,EU,CIS,1
138,2021-10-27,paiN,Sharks,Nuke,1,SA,SA,1
139,2021-10-27,Sharks,paiN,Ancient,2,SA,SA,1
140,2021-10-27,paiN,Sharks,Vertigo,2,SA,SA,1
141,2021-10-27,Astralis,GODSENT,Vertigo,1,EU,SA,1
142,2021-10-27,GODSENT,Astralis,Nuke,2,SA,EU,1
143,2021-10-27,Heroic,Copenhagen Flames,Overpass,2,EU,EU,1
144,2021-10-27,Copenhagen Flames,Heroic,Nuke,2,EU,EU,1
145,2021-10-27,Heroic,Copenhagen Flames,Vertigo,2,EU,EU,1
146,2021-10-27,Virtus.pro,FaZe,Ancient,2,CIS,EU,1
147,2021-10-27,FaZe,Virtus.pro,Mirage,1,EU,CIS,1
148,2021-10-27,Entropiq,Movistar Riders,Mirage,1,CIS,EU,1
149,2021-10-27,ENCE,MOUZ,Nuke,1,EU,EU,1
150,2021-10-27,Renegades,BIG,Inferno,2,Oceania,EU,1
151,2021-10-27,Spirit,TYLOO,Overpass,1,CIS,Asia,1
152,2021-10-26,Virtus.pro,Movistar Riders,Vertigo,1,CIS,EU,1
153,2021-10-26,Heroic,MOUZ,Nuke,1,EU,EU,1
154,2021-10-26,ENCE,FaZe,Dust2,2,EU,EU,1
155,2021-10-26,Copenhagen Flames,BIG,Nuke,1,EU,EU,1
156,2021-10-26,Sharks,TYLOO,Mirage,2,SA,Asia,1
157,2021-10-26,paiN,Renegades,Nuke,2,SA,Oceania,1
158,2021-10-26,Spirit,GODSENT,Nuke,1,CIS,SA,1
159,2021-10-26,Astralis,Entropiq,Dust2,2,EU,CIS,1
160,2021-10-26,MOUZ,Sharks,Inferno,1,EU,SA,1
161,2021-10-26,Heroic,TYLOO,Inferno,1,EU,Asia,1
162,2021-10-26,Renegades,Movistar Riders,Nuke,2,Oceania,EU,1
163,2021-10-26,Entropiq,BIG,Nuke,2,CIS,EU,1
164,2021-10-26,paiN,Virtus.pro,Inferno,2,SA,CIS,1
165,2021-10-26,ENCE,GODSENT,Nuke,1,EU,SA,1
166,2021-10-26,Spirit,FaZe,Overpass,2,CIS,EU,1
167,2021-10-26,Copenhagen Flames,Astralis,Overpass,1,EU,EU,1
168,2021-10-25,LDLC,Dignitas,Vertigo,2,EU,EU,2
169,2021-10-25,Dignitas,LDLC,Inferno,1,EU,EU,2
170,2021-10-25,Extra Salt,Party Astronauts,Nuke,1,N_A,N_A,2
171,2021-10-25,Extra Salt,Party Astronauts,Inferno,2,N_A,N_A,2
172,2021-10-25,Party Astronauts,Extra Salt,Overpass,2,N_A,N_A,2
173,2021-10-24,TeamOne,Party Astronauts,Inferno,2,SA,N_A,2
174,2021-10-24,TeamOne,Party Astronauts,Nuke,2,SA,N_A,2
175,2021-10-24,Party Astronauts,TeamOne,Mirage,2,N_A,SA,2
176,2021-10-24,DBL PONEY,LDLC,Inferno,2,EU,EU,2
177,2021-10-24,DBL PONEY,LDLC,Nuke,2,EU,EU,2
178,2021-10-24,LDLC,DBL PONEY,Ancient,2,EU,EU,2
179,2021-10-22,Entropiq,Dignitas,Nuke,1,CIS,EU,2
180,2021-10-22,Dignitas,Entropiq,Ancient,2,EU,CIS,2
181,2021-10-21,LDLC,K23,Mirage,2,EU,CIS,2
182,2021-10-21,K23,LDLC,Nuke,1,CIS,EU,2
183,2021-10-21,forZe,GamerLegion,Mirage,2,CIS,EU,2
184,2021-10-21,GamerLegion,forZe,Nuke,1,EU,CIS,2
185,2021-10-21,forZe,GamerLegion,Ancient,1,CIS,EU,2
186,2021-10-21,1WIN,Lyngby Vikings,Overpass,2,CIS,EU,3
187,2021-10-21,1WIN,Lyngby Vikings,Ancient,2,CIS,EU,3
188,2021-10-21,Lyngby Vikings,1WIN,Nuke,2,EU,CIS,3
189,2021-10-21,Sinners,GamerLegion,Ancient,2,EU,EU,2
190,2021-10-21,Sinners,GamerLegion,Vertigo,2,EU,EU,2
191,2021-10-21,GamerLegion,Sinners,Inferno,2,EU,EU,2
192,2021-10-21,SKADE,forZe,Mirage,2,EU,CIS,2
193,2021-10-21,forZe,SKADE,Overpass,1,CIS,EU,2
194,2021-10-20,FURIA,NIP,Inferno,1,SA,EU,3
195,2021-10-20,G2,NIP,Train,1,EU,EU,3
196,2021-10-20,FURIA,BIG,Tuscan,2,SA,EU,3
197,2021-10-20,GamerLegion,fnatic,Overpass,2,EU,EU,2
198,2021-10-20,GamerLegion,fnatic,Mirage,1,EU,EU,2
199,2021-10-20,Entropiq,Sinners,Nuke,2,CIS,EU,2
200,2021-10-20,MAD Lions,SKADE,Overpass,1,EU,EU,2
201,2021-10-20,SKADE,MAD Lions,Dust2,2,EU,EU,2
202,2021-10-20,Sinners,Entropiq,Overpass,1,EU,CIS,2
203,2021-10-20,fnatic,GamerLegion,Inferno,1,EU,EU,2
204,2021-10-20,BIG,G2,Cobblestone,2,EU,EU,3
205,2021-10-20,NIP,BIG,Cache,2,EU,EU,3
206,2021-10-20,MOUZ NXT,1WIN,Nuke,2,EU,CIS,3
207,2021-10-20,1WIN,MOUZ NXT,Mirage,1,CIS,EU,3
208,2021-10-20,MOUZ NXT,1WIN,Vertigo,1,EU,CIS,3
209,2021-10-20,FURIA,G2,Cache,1,SA,EU,3
210,2021-10-20,GamerLegion,forZe,Mirage,1,EU,CIS,2
211,2021-10-20,GamerLegion,forZe,Overpass,1,EU,CIS,2
212,2021-10-20,forZe,GamerLegion,Inferno,1,CIS,EU,2
213,2021-10-20,MAD Lions,Entropiq,Overpass,1,EU,CIS,2
214,2021-10-20,Entropiq,MAD Lions,Nuke,2,CIS,EU,2
215,2021-10-20,SKADE,Sinners,Vertigo,1,EU,EU,2
216,2021-10-20,Sinners,SKADE,Overpass,2,EU,EU,2
217,2021-10-20,Lyngby Vikings,AVE,Ancient,1,EU,CIS,3
218,2021-10-20,Lyngby Vikings,AVE,Inferno,1,EU,CIS,3
219,2021-10-19,AVE,INDE IRAE,Nuke,1,CIS,CIS,3
220,2021-10-19,INDE IRAE,AVE,Overpass,2,CIS,CIS,3
221,2021-10-19,FunPlus Phoenix,ENCE,Dust2,2,EU,EU,2
222,2021-10-19,ENCE,FunPlus Phoenix,Vertigo,1,EU,EU,2
223,2021-10-19,MOUZ NXT,Young Ninjas,Vertigo,1,EU,EU,3
224,2021-10-19,Young Ninjas,MOUZ NXT,Nuke,2,EU,EU,3
225,2021-10-19,Spirit,FunPlus Phoenix,Nuke,2,CIS,EU,2
226,2021-10-19,FunPlus Phoenix,Spirit,Overpass,2,EU,CIS,2
227,2021-10-19,Spirit,FunPlus Phoenix,Inferno,2,CIS,EU,2
228,2021-10-19,K23,ENCE,Nuke,2,CIS,EU,2
229,2021-10-19,ENCE,K23,Overpass,1,EU,CIS,2
