Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event,Total_rounds,rnd_diff,winner,Team1_region,Team2_region,Event_priority
86,2021-10-31,MOUZ,ENCE,Europe,Europe,Mirage,16,6,PGL Major Stockholm 2021,22,10,1,EU,EU,1
87,2021-10-31,Natus Vincere,NIP,Russia,Sweden,Overpass,16,9,PGL Major Stockholm 2021,25,7,1,CIS,EU,1
88,2021-10-31,NIP,Natus Vincere,Sweden,Russia,Nuke,9,16,PGL Major Stockholm 2021,25,-7,2,EU,CIS,1
89,2021-10-31,Vitality,Evil Geniuses,France,North America,Dust2,16,12,PGL Major Stockholm 2021,28,4,1,EU,N_A,1
90,2021-10-31,Evil Geniuses,Vitality,North America,France,Vertigo,5,16,PGL Major Stockholm 2021,21,-11,2,N_A,EU,1
91,2021-10-31,Vitality,Evil Geniuses,France,North America,Inferno,13,16,PGL Major Stockholm 2021,29,-3,2,EU,N_A,1
92,2021-10-31,G2,Entropiq,Europe,Russia,Dust2,16,8,PGL Major Stockholm 2021,24,8,1,EU,CIS,1
93,2021-10-31,G2,Entropiq,Europe,Russia,Mirage,16,14,PGL Major Stockholm 2021,30,2,1,EU,CIS,1
94,2021-10-31,Heroic,Astralis,Denmark,Denmark,Ancient,16,7,PGL Major Stockholm 2021,23,9,1,EU,EU,1
95,2021-10-31,FURIA,Liquid,Brazil,United States,Inferno,16,9,PGL Major Stockholm 2021,25,7,1,SA,N_A,1
96,2021-10-31,FaZe,Copenhagen Flames,Europe,Denmark,Ancient,6,16,PGL Major Stockholm 2021,22,-10,2,EU,EU,1
97,2021-10-31,Virtus.pro,Gambit,CIS,Russia,Vertigo,14,16,PGL Major Stockholm 2021,30,-2,2,CIS,CIS,1
98,2021-10-30,NIP,Astralis,Sweden,Denmark,Inferno,16,1,PGL Major Stockholm 2021,17,15,1,EU,EU,1
99,2021-10-30,MOUZ,FURIA,Europe,Brazil,Inferno,9,16,PGL Major Stockholm 2021,25,-7,2,EU,SA,1
100,2021-10-30,Natus Vincere,Virtus.pro,Russia,CIS,Overpass,16,4,PGL Major Stockholm 2021,20,12,1,CIS,CIS,1
101,2021-10-30,Vitality,Heroic,France,Denmark,Overpass,12,16,PGL Major Stockholm 2021,28,-4,2,EU,EU,1
102,2021-10-30,Gambit,Entropiq,Russia,Russia,Vertigo,9,16,PGL Major Stockholm 2021,25,-7,2,CIS,CIS,1
103,2021-10-30,ENCE,Liquid,Europe,United States,Dust2,8,16,PGL Major Stockholm 2021,24,-8,2,EU,N_A,1
104,2021-10-30,FaZe,G2,Europe,Europe,Mirage,7,16,PGL Major Stockholm 2021,23,-9,2,EU,EU,1
105,2021-10-30,Copenhagen Flames,Evil Geniuses,Denmark,North America,Nuke,16,2,PGL Major Stockholm 2021,18,14,1,EU,N_A,1
106,2021-10-30,Astralis,FURIA,Denmark,Brazil,Inferno,16,10,PGL Major Stockholm 2021,26,6,1,EU,SA,1
107,2021-10-30,NIP,MOUZ,Sweden,Europe,Inferno,16,12,PGL Major Stockholm 2021,28,4,1,EU,EU,1
108,2021-10-30,Natus Vincere,Heroic,Russia,Denmark,Ancient,16,11,PGL Major Stockholm 2021,27,5,1,CIS,EU,1
109,2021-10-30,Virtus.pro,Vitality,CIS,France,Inferno,16,14,PGL Major Stockholm 2021,30,2,1,CIS,EU,1
110,2021-10-30,Liquid,Entropiq,United States,Russia,Vertigo,9,16,PGL Major Stockholm 2021,25,-7,2,N_A,CIS,1
111,2021-10-30,ENCE,Gambit,Europe,Russia,Overpass,7,16,PGL Major Stockholm 2021,23,-9,2,EU,CIS,1
112,2021-10-30,G2,Copenhagen Flames,Europe,Denmark,Ancient,16,11,PGL Major Stockholm 2021,27,5,1,EU,EU,1
113,2021-10-30,FaZe,Evil Geniuses,Europe,North America,Dust2,16,6,PGL Major Stockholm 2021,22,10,1,EU,N_A,1
114,2021-10-29,Spirit,Astralis,Russia,Denmark,Inferno,12,16,PGL Major Stockholm 2021 Challengers Stage,28,-4,2,CIS,EU,1
115,2021-10-29,Astralis,Spirit,Denmark,Russia,Dust2,16,8,PGL Major Stockholm 2021 Challengers Stage,24,8,1,EU,CIS,1
116,2021-10-29,MOUZ,BIG,Europe,Germany,Nuke,16,12,PGL Major Stockholm 2021 Challengers Stage,28,4,1,EU,EU,1
117,2021-10-29,BIG,MOUZ,Germany,Europe,Inferno,12,16,PGL Major Stockholm 2021 Challengers Stage,28,-4,2,EU,EU,1
118,2021-10-29,MOUZ,BIG,Europe,Germany,Dust2,10,16,PGL Major Stockholm 2021 Challengers Stage,26,-6,2,EU,EU,1
119,2021-10-29,Movistar Riders,Heroic,Spain,Denmark,Overpass,14,16,PGL Major Stockholm 2021 Challengers Stage,30,-2,2,EU,EU,1
120,2021-10-29,Heroic,Movistar Riders,Denmark,Spain,Inferno,16,7,PGL Major Stockholm 2021 Challengers Stage,23,9,1,EU,EU,1
121,2021-10-28,MOUZ,Renegades,Europe,Australia,Vertigo,16,6,PGL Major Stockholm 2021 Challengers Stage,22,10,1,EU,Oceania,1
122,2021-10-28,Renegades,MOUZ,Australia,Europe,Inferno,10,16,PGL Major Stockholm 2021 Challengers Stage,26,-6,2,Oceania,EU,1
123,2021-10-28,MOUZ,Renegades,Europe,Australia,Mirage,14,16,PGL Major Stockholm 2021 Challengers Stage,30,-2,2,EU,Oceania,1
124,2021-10-28,Astralis,paiN,Denmark,Brazil,Ancient,19,16,PGL Major Stockholm 2021 Challengers Stage,35,3,1,EU,SA,1
125,2021-10-28,paiN,Astralis,Brazil,Denmark,Nuke,8,16,PGL Major Stockholm 2021 Challengers Stage,24,-8,2,SA,EU,1
126,2021-10-28,ENCE,BIG,Europe,Germany,Nuke,16,10,PGL Major Stockholm 2021 Challengers Stage,26,6,1,EU,EU,1
127,2021-10-28,BIG,ENCE,Germany,Europe,Mirage,8,16,PGL Major Stockholm 2021 Challengers Stage,24,-8,2,EU,EU,1
128,2021-10-28,ENCE,BIG,Europe,Germany,Dust2,10,16,PGL Major Stockholm 2021 Challengers Stage,26,-6,2,EU,EU,1
129,2021-10-28,TYLOO,Movistar Riders,China,Spain,Vertigo,16,19,PGL Major Stockholm 2021 Challengers Stage,35,-3,2,Asia,EU,1
130,2021-10-28,Movistar Riders,TYLOO,Spain,China,Mirage,7,16,PGL Major Stockholm 2021 Challengers Stage,23,-9,2,EU,Asia,1
131,2021-10-28,TYLOO,Movistar Riders,China,Spain,Inferno,14,16,PGL Major Stockholm 2021 Challengers Stage,30,-2,2,Asia,EU,1
132,2021-10-28,Spirit,Virtus.pro,Russia,CIS,Overpass,15,19,PGL Major Stockholm 2021 Challengers Stage,34,-4,2,CIS,CIS,1
133,2021-10-28,Virtus.pro,Spirit,CIS,Russia,Ancient,12,16,PGL Major Stockholm 2021 Challengers Stage,28,-4,2,CIS,CIS,1
134,2021-10-28,Spirit,Virtus.pro,Russia,CIS,Inferno,7,16,PGL Major Stockholm 2021 Challengers Stage,23,-9,2,CIS,CIS,1
135,2021-10-28,Heroic,Entropiq,Denmark,Russia,Mirage,4,16,PGL Major Stockholm 2021 Challengers Stage,20,-12,2,EU,CIS,1
136,2021-10-28,Entropiq,Heroic,Russia,Denmark,Nuke,16,14,PGL Major Stockholm 2021 Challengers Stage,30,2,1,CIS,EU,1
137,2021-10-28,Heroic,Entropiq,Denmark,Russia,Ancient,16,10,PGL Major Stockholm 2021 Challengers Stage,26,6,1,EU,CIS,1
138,2021-10-27,paiN,Sharks,Brazil,Brazil,Nuke,16,4,PGL Major Stockholm 2021 Challengers Stage,20,12,1,SA,SA,1
139,2021-10-27,Sharks,paiN,Brazil,Brazil,Ancient,20,22,PGL Major Stockholm 2021 Challengers Stage,42,-2,2,SA,SA,1
140,2021-10-27,paiN,Sharks,Brazil,Brazil,Vertigo,16,19,PGL Major Stockholm 2021 Challengers Stage,35,-3,2,SA,SA,1
141,2021-10-27,Astralis,GODSENT,Denmark,Brazil,Vertigo,16,11,PGL Major Stockholm 2021 Challengers Stage,27,5,1,EU,SA,1
142,2021-10-27,GODSENT,Astralis,Brazil,Denmark,Nuke,3,16,PGL Major Stockholm 2021 Challengers Stage,19,-13,2,SA,EU,1
143,2021-10-27,Heroic,Copenhagen Flames,Denmark,Denmark,Overpass,12,16,PGL Major Stockholm 2021 Challengers Stage,28,-4,2,EU,EU,1
144,2021-10-27,Copenhagen Flames,Heroic,Denmark,Denmark,Nuke,11,16,PGL Major Stockholm 2021 Challengers Stage,27,-5,2,EU,EU,1
145,2021-10-27,Heroic,Copenhagen Flames,Denmark,Denmark,Vertigo,7,16,PGL Major Stockholm 2021 Challengers Stage,23,-9,2,EU,EU,1
146,2021-10-27,Virtus.pro,FaZe,CIS,Europe,Ancient,6,16,PGL Major Stockholm 2021 Challengers Stage,22,-10,2,CIS,EU,1
147,2021-10-27,FaZe,Virtus.pro,Europe,CIS,Mirage,16,14,PGL Major Stockholm 2021 Challengers Stage,30,2,1,EU,CIS,1
148,2021-10-27,Entropiq,Movistar Riders,Russia,Spain,Mirage,16,12,PGL Major Stockholm 2021 Challengers Stage,28,4,1,CIS,EU,1
149,2021-10-27,ENCE,MOUZ,Europe,Europe,Nuke,16,11,PGL Major Stockholm 2021 Challengers Stage,27,5,1,EU,EU,1
150,2021-10-27,Renegades,BIG,Australia,Germany,Inferno,9,16,PGL Major Stockholm 2021 Challengers Stage,25,-7,2,Oceania,EU,1
151,2021-10-27,Spirit,TYLOO,Russia,China,Overpass,16,3,PGL Major Stockholm 2021 Challengers Stage,19,13,1,CIS,Asia,1
152,2021-10-26,Virtus.pro,Movistar Riders,CIS,Spain,Vertigo,16,12,PGL Major Stockholm 2021 Challengers Stage,28,4,1,CIS,EU,1
153,2021-10-26,Heroic,MOUZ,Denmark,Europe,Nuke,16,11,PGL Major Stockholm 2021 Challengers Stage,27,5,1,EU,EU,1
154,2021-10-26,ENCE,FaZe,Europe,Europe,Dust2,12,16,PGL Major Stockholm 2021 Challengers Stage,28,-4,2,EU,EU,1
155,2021-10-26,Copenhagen Flames,BIG,Denmark,Germany,Nuke,16,11,PGL Major Stockholm 2021 Challengers Stage,27,5,1,EU,EU,1
156,2021-10-26,Sharks,TYLOO,Brazil,China,Mirage,14,16,PGL Major Stockholm 2021 Challengers Stage,30,-2,2,SA,Asia,1
157,2021-10-26,paiN,Renegades,Brazil,Australia,Nuke,14,16,PGL Major Stockholm 2021 Challengers Stage,30,-2,2,SA,Oceania,1
158,2021-10-26,Spirit,GODSENT,Russia,Brazil,Nuke,16,12,PGL Major Stockholm 2021 Challengers Stage,28,4,1,CIS,SA,1
159,2021-10-26,Astralis,Entropiq,Denmark,Russia,Dust2,6,16,PGL Major Stockholm 2021 Challengers Stage,22,-10,2,EU,CIS,1
160,2021-10-26,MOUZ,Sharks,Europe,Brazil,Inferno,16,6,PGL Major Stockholm 2021 Challengers Stage,22,10,1,EU,SA,1
161,2021-10-26,Heroic,TYLOO,Denmark,China,Inferno,16,12,PGL Major Stockholm 2021 Challengers Stage,28,4,1,EU,Asia,1
162,2021-10-26,Renegades,Movistar Riders,Australia,Spain,Nuke,13,16,PGL Major Stockholm 2021 Challengers Stage,29,-3,2,Oceania,EU,1
163,2021-10-26,Entropiq,BIG,Russia,Germany,Nuke,13,16,PGL Major Stockholm 2021 Challengers Stage,29,-3,2,CIS,EU,1
164,2021-10-26,paiN,Virtus.pro,Brazil,CIS,Inferno,14,16,PGL Major Stockholm 2021 Challengers Stage,30,-2,2,SA,CIS,1
165,2021-10-26,ENCE,GODSENT,Europe,Brazil,Nuke,16,10,PGL Major Stockholm 2021 Challengers Stage,26,6,1,EU,SA,1
166,2021-10-26,Spirit,FaZe,Russia,Europe,Overpass,11,16,PGL Major Stockholm 2021 Challengers Stage,27,-5,2,CIS,EU,1
167,2021-10-26,Copenhagen Flames,Astralis,Denmark,Denmark,Overpass,16,6,PGL Major Stockholm 2021 Challengers Stage,22,10,1,EU,EU,1
168,2021-10-25,LDLC,Dignitas,France,Sweden,Vertigo,14,16,REPUBLEAGUE TIPOS Season 2,30,-2,2,EU,EU,2
169,2021-10-25,Dignitas,LDLC,Sweden,France,Inferno,16,8,REPUBLEAGUE TIPOS Season 2,24,8,1,EU,EU,2
170,2021-10-25,Extra Salt,Party Astronauts,North America,United States,Nuke,16,8,ESEA Autumn 2021 Cash Cup 3 North America,24,8,1,N_A,N_A,2
171,2021-10-25,Extra Salt,Party Astronauts,North America,United States,Inferno,19,22,ESEA Autumn 2021 Cash Cup 3 North America,41,-3,2,N_A,N_A,2
172,2021-10-25,Party Astronauts,Extra Salt,United States,North America,Overpass,9,16,ESEA Autumn 2021 Cash Cup 3 North America,25,-7,2,N_A,N_A,2
173,2021-10-24,TeamOne,Party Astronauts,Brazil,United States,Inferno,12,16,ESEA Autumn 2021 Cash Cup 3 North America,28,-4,2,SA,N_A,2
174,2021-10-24,TeamOne,Party Astronauts,Brazil,United States,Nuke,12,16,ESEA Autumn 2021 Cash Cup 3 North America,28,-4,2,SA,N_A,2
175,2021-10-24,Party Astronauts,TeamOne,United States,Brazil,Mirage,11,16,ESEA Autumn 2021 Cash Cup 3 North America,27,-5,2,N_A,SA,2
176,2021-10-24,DBL PONEY,LDLC,France,France,Inferno,8,16,ESL National Championship France Autumn 2021,24,-8,2,EU,EU,2
177,2021-10-24,DBL PONEY,LDLC,France,France,Nuke,9,16,ESL National Championship France Autumn 2021,25,-7,2,EU,EU,2
178,2021-10-24,LDLC,DBL PONEY,France,France,Ancient,5,16,ESL National Championship France Autumn 2021,21,-11,2,EU,EU,2
179,2021-10-22,Entropiq,Dignitas,Russia,Sweden,Nuke,19,17,REPUBLEAGUE TIPOS Season 2,36,2,1,CIS,EU,2
180,2021-10-22,Dignitas,Entropiq,Sweden,Russia,Ancient,11,16,REPUBLEAGUE TIPOS Season 2,27,-5,2,EU,CIS,2
181,2021-10-21,LDLC,K23,France,Russia,Mirage,6,16,REPUBLEAGUE TIPOS Season 2,22,-10,2,EU,CIS,2
182,2021-10-21,K23,LDLC,Russia,France,Nuke,16,4,REPUBLEAGUE TIPOS Season 2,20,12,1,CIS,EU,2
183,2021-10-21,forZe,GamerLegion,Russia,Sweden,Mirage,26,28,DreamHack Open November 2021 Closed Qualifier,54,-2,2,CIS,EU,2
184,2021-10-21,GamerLegion,forZe,Sweden,Russia,Nuke,16,13,DreamHack Open November 2021 Closed Qualifier,29,3,1,EU,CIS,2
185,2021-10-21,forZe,GamerLegion,Russia,Sweden,Ancient,16,13,DreamHack Open November 2021 Closed Qualifier,29,3,1,CIS,EU,2
186,2021-10-21,1WIN,Lyngby Vikings,Russia,Denmark,Overpass,6,16,Malta Vibes Knockout Series 3,22,-10,2,CIS,EU,3
187,2021-10-21,1WIN,Lyngby Vikings,Russia,Denmark,Ancient,10,16,Malta Vibes Knockout Series 3,26,-6,2,CIS,EU,3
188,2021-10-21,Lyngby Vikings,1WIN,Denmark,Russia,Nuke,14,16,Malta Vibes Knockout Series 3,30,-2,2,EU,CIS,3
189,2021-10-21,Sinners,GamerLegion,Czech Republic,Sweden,Ancient,14,16,DreamHack Open November 2021 Closed Qualifier,30,-2,2,EU,EU,2
190,2021-10-21,Sinners,GamerLegion,Czech Republic,Sweden,Vertigo,13,16,DreamHack Open November 2021 Closed Qualifier,29,-3,2,EU,EU,2
191,2021-10-21,GamerLegion,Sinners,Sweden,Czech Republic,Inferno,9,16,DreamHack Open November 2021 Closed Qualifier,25,-7,2,EU,EU,2
192,2021-10-21,SKADE,forZe,Bulgaria,Russia,Mirage,14,16,DreamHack Open November 2021 Closed Qualifier,30,-2,2,EU,CIS,2
193,2021-10-21,forZe,SKADE,Russia,Bulgaria,Overpass,16,14,DreamHack Open November 2021 Closed Qualifier,30,2,1,CIS,EU,2
194,2021-10-20,FURIA,NIP,Brazil,Sweden,Inferno,13,2,Battle of Betway 2021,15,11,1,SA,EU,3
