Index,Date,Map,Result
498,17/02/19,Mirage,W
499,15/02/19,Inferno,L
500,15/02/19,Cache,L
501,14/02/19,Mirage,L
502,14/02/19,Inferno,L
503,13/02/19,Overpass,W
504,13/02/19,Inferno,W
505,14/12/18,Mirage,L
506,14/12/18,Cache,L
507,13/12/18,Overpass,W
508,13/12/18,Overpass,W
509,30/11/18,Dust2,L
510,30/11/18,Inferno,L
511,29/11/18,Mirage,L
512,29/11/18,Dust2,L
513,29/11/18,Overpass,W
514,25/11/18,Inferno,L
515,25/11/18,Mirage,W
516,25/11/18,Train,W
517,25/11/18,Overpass,L
518,25/11/18,Dust2,L
519,24/11/18,Overpass,W
520,24/11/18,Mirage,W
521,24/11/18,Dust2,L
522,24/11/18,Cache,W
523,24/11/18,Mirage,W
524,24/11/18,Inferno,L
525,22/11/18,Mirage,W
526,22/11/18,Cache,W
527,22/11/18,Overpass,L
528,22/11/18,Train,L
529,22/11/18,Overpass,W
530,22/11/18,Train,W
531,22/11/18,Inferno,L
532,18/11/18,Cache,W
533,18/11/18,Dust2,W
534,17/11/18,Mirage,W
535,17/11/18,Overpass,W
536,17/11/18,Train,W
537,17/11/18,Inferno,W
538,17/11/18,Mirage,L
539,23/10/18,Overpass,L
540,23/10/18,Mirage,W
541,23/10/18,Inferno,L
542,19/10/18,Mirage,W
543,19/10/18,Cache,W
544,10/10/18,Cache,L
545,09/10/18,Mirage,L
546,08/10/18,Overpass,W
547,07/10/18,Inferno,L
548,01/10/18,Inferno,L
549,01/10/18,Cache,W
550,27/09/18,Inferno,W
551,27/09/18,Mirage,W
552,26/09/18,Inferno,L
553,26/09/18,Mirage,L
554,26/09/18,Train,W
555,15/09/18,Mirage,L
556,14/09/18,Overpass,L
557,13/09/18,Train,L
558,12/09/18,Inferno,W
559,09/09/18,Inferno,W
560,09/09/18,Overpass,W
561,08/09/18,Inferno,W
562,07/09/18,Inferno,L
563,06/09/18,Train,L
564,05/09/18,Inferno,W
565,31/08/18,Dust2,L
566,31/08/18,Overpass,L
567,31/08/18,Mirage,W
568,29/08/18,Mirage,W
569,29/08/18,Cache,W
570,29/08/18,Inferno,L
571,24/08/18,Train,L
572,24/08/18,Overpass,L
573,24/08/18,Mirage,W
574,18/08/18,Train,W
575,18/08/18,Inferno,L
576,18/08/18,Mirage,W
577,18/08/18,Train,W
578,18/08/18,Inferno,L
579,18/08/18,Mirage,W
580,17/08/18,Train,W
581,17/08/18,Inferno,W
582,17/08/18,Mirage,L
583,13/08/18,Mirage,W
584,13/08/18,Cache,W
585,06/08/18,Mirage,L
586,06/08/18,Overpass,L
587,04/08/18,Cache,W
588,04/08/18,Inferno,L
589,04/08/18,Train,W
590,01/08/18,Mirage,W
591,01/08/18,Dust2,W
592,01/08/18,Cache,W
593,20/07/18,Inferno,L
594,20/07/18,Train,L
595,19/07/18,Mirage,W
596,19/07/18,Cache,W
597,18/07/18,Cache,W
598,18/07/18,Inferno,L
599,18/07/18,Train,W
600,17/07/18,Mirage,W
601,17/07/18,Inferno,W
602,12/07/18,Dust2,W
603,12/07/18,Inferno,L
604,12/07/18,Mirage,W
605,11/07/18,Cache,W
606,11/07/18,Mirage,W
607,10/07/18,Inferno,W
608,10/07/18,Dust2,W
609,09/07/18,Dust2,W
610,09/07/18,Inferno,W
611,09/07/18,Train,L
612,18/06/18,Train,L
613,18/06/18,Mirage,L
614,17/06/18,Cache,W
615,17/06/18,Overpass,L
616,17/06/18,Inferno,W
617,15/06/18,Inferno,W
618,15/06/18,Mirage,W
619,15/06/18,Cache,L
620,15/06/18,Mirage,W
621,15/06/18,Train,L
622,31/05/18,Inferno,L
623,31/05/18,Overpass,L
624,31/05/18,Mirage,W
625,30/05/18,Inferno,L
626,30/05/18,Overpass,L
627,29/05/18,Inferno,L
628,29/05/18,Train,L
629,28/05/18,Overpass,W
630,28/05/18,Mirage,W
631,25/05/18,Cache,L
632,25/05/18,Mirage,L
633,25/05/18,Dust2,W
634,25/05/18,Inferno,L
635,24/05/18,Overpass,W
636,24/05/18,Mirage,L
637,24/05/18,Cache,W
638,17/05/18,Cache,L
639,17/05/18,Dust2,L
640,17/05/18,Mirage,W
641,17/05/18,Cache,W
642,16/05/18,Mirage,W
643,16/05/18,Dust2,W
644,16/05/18,Inferno,W
645,16/05/18,Mirage,W
646,15/05/18,Inferno,L
647,15/05/18,Overpass,W
648,15/05/18,Mirage,L
649,13/05/18,Inferno,W
650,13/05/18,Mirage,W
651,12/05/18,Mirage,W
652,12/05/18,Cache,W
653,10/05/18,Train,W
654,10/05/18,Inferno,L
655,10/05/18,Mirage,W
656,09/05/18,Mirage,W
657,09/05/18,Inferno,W
658,05/05/18,Mirage,L
659,05/05/18,Inferno,W
660,05/05/18,Cache,L
661,03/05/18,Train,W
662,03/05/18,Inferno,W
663,01/05/18,Overpass,W
664,01/05/18,Inferno,W
665,01/05/18,Mirage,W
666,26/04/18,Overpass,L
667,26/04/18,Cobblestone,L
668,26/04/18,Cache,W
669,26/04/18,Mirage,W
670,26/04/18,Inferno,L
671,25/04/18,Inferno,W
672,25/04/18,Mirage,W
673,25/04/18,Inferno,W
674,25/04/18,Overpass,W
675,25/04/18,Inferno,L
676,18/04/18,Mirage,L
677,18/04/18,Inferno,L
678,15/04/18,Cache,W
679,15/04/18,Inferno,W
680,14/04/18,Mirage,W
681,14/04/18,Overpass,W
682,13/04/18,Inferno,W
683,13/04/18,Mirage,W
684,11/04/18,Inferno,L
685,11/04/18,Mirage,W
686,11/04/18,Train,L
687,05/04/18,Mirage,W
688,05/04/18,Inferno,W
689,05/04/18,Cache,L
690,04/04/18,Train,W
691,04/04/18,Inferno,W
692,04/04/18,Cache,L
693,02/04/18,Cache,L
694,02/04/18,Overpass,W
695,02/04/18,Cobblestone,L
696,25/03/18,Overpass,W
697,25/03/18,Inferno,W
698,24/03/18,Inferno,W
699,24/03/18,Cache,W
700,23/03/18,Mirage,W
701,23/03/18,Inferno,W
702,23/03/18,Cache,W
703,23/03/18,Inferno,W
704,22/03/18,Cobblestone,L
705,08/03/18,Inferno,W
706,08/03/18,Cache,L
707,08/03/18,Cobblestone,W
708,07/03/18,Inferno,W
709,07/03/18,Cobblestone,W
710,07/03/18,Cobblestone,W
711,07/03/18,Train,W
712,27/02/18,Cache,L
713,27/02/18,Overpass,W
714,27/02/18,Inferno,L
715,27/02/18,Inferno,L
716,20/02/18,Cobblestone,L
717,20/02/18,Mirage,L
718,19/02/18,Train,L
719,19/02/18,Inferno,L
720,18/02/18,Inferno,W
721,18/02/18,Cobblestone,W
722,17/02/18,Overpass,L
723,17/02/18,Mirage,L
724,22/01/18,Inferno,W
725,22/01/18,Cobblestone,W
726,20/01/18,Cache,W
727,20/01/18,Cobblestone,W
728,19/01/18,Cobblestone,W
729,19/01/18,Mirage,W
730,19/01/18,Inferno,L
731,31/12/18,Overpass,W
732,31/12/18,Mirage,W
733,30/12/17,Cobblestone,W
734,30/12/17,Cache,W
735,30/12/17,Mirage,L
736,30/12/17,Train,W
737,30/12/17,Mirage,W
738,28/12/17,Mirage,W
739,28/12/17,Inferno,W
740,10/12/17,Train,L
741,10/12/17,Inferno,L
742,10/12/17,Overpass,L
743,09/12/17,Inferno,W
744,09/12/17,Cobblestone,W
745,09/12/17,Overpass,L
746,08/12/17,Cache,W
747,08/12/17,Cobblestone,W
748,08/12/17,Train,L
749,07/12/17,Mirage,L
750,07/12/17,Inferno,L
751,07/12/17,Overpass,L
752,07/12/17,Train,L
753,07/12/17,Inferno,W
754,03/12/17,Mirage,W
755,03/12/17,Cache,W
756,02/12/17,Cobblestone,L
757,02/12/17,Inferno,L
758,28/11/17,Cache,W
759,28/11/17,Mirage,L
760,22/11/17,Mirage,L
761,22/11/17,Inferno,L
762,21/11/17,Overpass,L
763,21/11/17,Mirage,L
764,19/11/17,Train,W
765,19/11/17,Cache,W
766,03/11/17,Inferno,L
767,03/11/17,Mirage,L
768,03/11/17,Train,W
769,02/11/17,Nuke,L
770,02/11/17,Mirage,L
771,02/11/17,Cobblestone,W
772,29/10/17,Train,L
773,29/10/17,Cache,L
774,29/10/17,Cobblestone,W
775,29/10/17,Cache,L
776,29/10/17,Inferno,W
777,28/10/17,Mirage,L
778,28/10/17,Cobblestone,L
779,28/10/17,Inferno,W
780,28/10/17,Train,W
781,28/10/17,Cache,W
782,27/10/17,Inferno,W
783,27/10/17,Cobblestone,W
784,23/10/17,Cache,L
785,23/10/17,Inferno,L
786,09/09/17,Cache,L
787,09/09/17,Inferno,L
788,09/09/17,Overpass,W
789,28/07/17,Cobblestone,W
790,28/07/17,Train,W
791,28/07/17,Inferno,W
792,27/07/17,Overpass,W
793,27/07/17,Mirage,W
794,05/07/17,Cobblestone,L
795,04/07/17,Inferno,L
796,04/07/17,Cache,L
797,02/07/17,Overpass,L
798,01/07/17,Inferno,L
799,30/06/17,Cache,W
800,29/06/17,Inferno,L
801,25/06/17,Train,L
802,25/06/17,Overpass,W
803,25/06/17,Cobblestone,L
804,24/06/17,Train,W
805,24/06/17,Cache,W
806,24/06/17,Cobblestone,L
807,23/06/17,Cobblestone,W
808,23/06/17,Overpass,W
809,09/06/17,Cobblestone,W
810,09/06/17,Mirage,W
811,09/06/17,Cobblestone,W
812,09/06/17,Mirage,W
813,08/06/17,Cache,W
814,08/06/17,Mirage,W
815,07/06/17,Mirage,W
816,07/06/17,Cache,W
817,04/06/17,Cobblestone,L
818,04/06/17,Cache,L
