Index,Date,Map,Result
473,18/07/19,Train,L
474,17/07/19,Inferno,L
475,09/07/19,Nuke,L
476,09/07/19,Train,W
477,09/07/19,Mirage,L
478,04/07/19,Train,L
479,04/07/19,Dust2,W
480,04/07/19,Inferno,L
481,03/07/19,Mirage,W
482,03/07/19,Inferno,W
483,02/07/19,Inferno,W
484,02/07/19,Vertigo,W
485,02/07/19,Train,L
486,22/06/19,Nuke,L
487,22/06/19,Overpass,L
488,20/06/19,Vertigo,W
489,20/06/19,Train,W
490,19/06/19,Nuke,W
491,19/06/19,Mirage,W
492,18/06/19,Inferno,W
493,11/06/19,Inferno,W
494,11/06/19,Nuke,W
495,11/06/19,Mirage,L
496,10/06/19,Train,W
497,10/06/19,Nuke,W
498,21/05/19,Mirage,L
499,21/05/19,Inferno,L
500,21/05/19,Train,W
501,19/05/19,Mirage,W
502,19/05/19,Train,W
503,19/05/19,Dust2,W
504,19/05/19,Train,W
505,18/05/19,Nuke,W
506,18/05/19,Overpass,W
507,17/05/19,Dust2,L
508,17/05/19,Inferno,W
509,15/05/19,Inferno,L
510,15/05/19,Nuke,L
511,13/05/19,Dust2,W
512,13/05/19,Train,W
513,03/05/19,Overpass,L
514,03/05/19,Mirage,L
515,02/05/19,Inferno,W
516,02/05/19,Mirage,W
517,01/05/19,Inferno,W
518,01/05/19,Train,W
519,30/04/19,Train,W
520,30/04/19,Mirage,W
521,30/04/19,Inferno,L
522,14/04/19,Mirage,W
523,14/04/19,Train,W
524,13/04/19,Train,W
525,13/04/19,Dust2,L
526,13/04/19,Overpass,W
527,12/04/19,Train,W
528,12/04/19,Inferno,W
529,20/03/19,Dust2,L
530,20/03/19,Mirage,W
531,20/03/19,Overpass,L
532,18/03/19,Inferno,W
533,18/03/19,Dust2,W
534,17/01/19,Cache,L
535,17/01/19,Train,L
536,17/01/19,Nuke,W
537,17/01/19,Train,W
538,16/01/19,Mirage,L
539,12/12/18,Nuke,W
540,12/12/18,Mirage,W
541,12/12/18,Inferno,L
542,12/12/18,Mirage,W
543,12/12/18,Inferno,W
544,08/12/18,Inferno,L
545,08/12/18,Mirage,L
546,07/12/18,Train,W
547,07/12/18,Mirage,W
548,07/12/18,Cache,L
549,06/12/18,Inferno,L
550,06/12/18,Train,L
551,05/12/18,Train,W
552,05/12/18,Nuke,W
553,04/12/18,Train,W
